ID,Name,Cost,Starting gold,Starting points,Transition points,Size,Maximum HP,Protection,MR,Morale,Strength,Attack,Defence,Precision,Encumbrance,AP,Attacks,Paths,Properties,Slots,Parts,Transitions,Category
f1,human,gold (13),29,3,0,2,10,"eye (0), head (0), body (0), arm (0), leg (0)",10,10,10,10,10,10,3,12,,,,"hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)","f6, f12, f99, f113, f132, f151, f169, f241, f78, f230","starting form, tagless"
f2,hoburg,gold (2),38,5,0,1,5,"eye (0), head (0), body (0), arm (0), leg (0)",14,8,6,10,13,11,4,8,,,stealthy (40),"hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)","f156, f160, f167, f133, f144","starting form, tagless"
f3,markata,gold (33),0,0,1,1,5,"eye (0), head (0), body (0), arm (0), leg (0)",7,7,5,10,14,8,2,12,,,"animal, survives in forests","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",f103,animal
f4,bakemono-sho,gold (6),36,4,0,2,9,"eye (0), head (0), body (0), arm (0), leg (0)",9,8,9,10,10,10,3,10,,,"darkvision (50), stealthy (40)","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)","f13, f24, f25, f168, f241","starting form, tagless"
f5,c'tissian,"gold (18), emeralds (1)",24,3,0,2,11,"eye (5), head (5), body (5), arm (5), leg (5)",12,9,10,10,10,10,4,10,,,"cold-blooded, survives in swamps, resist poison (5)","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)","f65, f67, f197","cold-blooded, starting form"
f6,humanbred,"gold (20), rubies (3)",0,0,0,2,12,"eye (0), head (0), body (0), arm (0), leg (0)",11,10,11,10,9,8,3,11,,,"survives in wastes, resist fire (15)","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)","f7, f8",tagless
f7,abysian,"gold (69), rubies (7)",0,0,1,2,15,"eye (0), head (0), body (0), arm (0), leg (0)",12,11,13,10,9,7,2,11,,,"survives in wastes, darkvision (50), heat aura (3), resist fire (25)","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)","f9, f10, f11",tagless
f8,warbred,"gold (105), rubies (1)",0,0,2,3,22,"eye (0), head (0), body (0), arm (0), leg (0)",8,14,15,11,9,9,2,13,,,"survives in wastes, berserk (2), resist fire (5)","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,tagless
f9,abysian warlord,"gold (96), rubies (7)",0,0,2,3,19,"eye (0), head (0), body (0), arm (0), leg (0)",12,13,15,10,9,7,2,12,,,"survives in wastes, darkvision (50), heat aura (3), resist fire (25)","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,tagless
f10,burning one,"gold (171), rubies (8)",0,0,4,3,23,"eye (0), head (0), body (0), arm (0), leg (0)",13,15,15,12,9,10,2,11,e320 (1),,"survives in wastes, darkvision (50), fire shield (6), fire power (1), heat aura (6), resist fire (25)","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,tagless
